Gene	Probe_ID	HMLE__pWZL__rep1	HMLE__pWZL__rep2	HMLE__pWZL__rep3	HMLE__TGFb__rep1	HMLE__TGFb__rep2	HMLE__TGFb__rep3	HMLE__Twist__rep1	HMLE__Twist__rep2	HMLE__Twist__rep3	HMLE__Gsc__rep1	HMLE__Gsc__rep2	HMLE__Gsc__rep3	HMLE__Snail__rep1	HMLE__Snail__rep2	HMLE__Snail__rep3	HMLE__shGFP__rep1	HMLE__shGFP_rep2	HMLE__shGFP_rep3	HMLE__shEcad__rep1	HMLE__shEcad__rep2	HMLE__shEcad__rep3
AADAC	205969_at	5.21155428205387	5.22951211350744	5.29579988420114	5.42335926573885	5.20845690733532	5.13355694145727	5.32951309218522	5.27967045218826	5.257142648188	5.26551615170583	5.32464006448376	5.43294592502758	5.16462912634365	5.30258764033327	5.10624294254782	5.26660954825482	5.23769760229643	5.26660954825482	5.3046633264424	5.34027661988752	5.26660954825482
AAGAB	202851_at,202852_s_at	7.48723749568581	7.69279114024841	7.64294486159299	7.54366381774281	7.70693147816314	7.58747631219615	7.54811489348339	7.65142323259091	7.54865203769143	7.59119113563379	7.65293695176604	7.55488988299861	7.36729029335004	7.29319106251169	7.38925826378326	7.52690142418273	7.69199334891493	7.51066425734419	7.59588353172295	7.7128102385148	7.63172613054457
AAK1	205434_s_at,205435_s_at,211186_s_at,214956_at,214998_at	5.1054359336275	5.11079863571638	5.0951448305549	5.12619207141219	5.18888367244598	5.24672057711391	5.24199909404266	5.20428746297628	5.16430726685048	5.15432860411905	5.22227231513722	5.24860607123606	5.14385880163089	5.19070242321372	5.14928367971628	5.14749789952025	5.15779820124307	5.2004405252092	5.14462069293087	5.1462312817471	5.17636400147012
AAMP	201511_at	9.82761106072792	9.76705123361912	9.56249870367355	10.0519767778927	9.81691215369966	9.5718457756569	9.52745094523984	9.70208766846157	9.61907723348479	9.3969025642295	9.39220516492946	9.25566387899486	9.74900315641223	9.73575114414744	9.67835533673004	9.3395612782501	9.29189112060556	9.23225831033044	9.62453753521563	9.57732208504806	9.4433879588229
AANAT	207225_at	4.56659613932395	4.65627397015185	4.52731007666531	4.57487901110605	4.58983933372437	4.60742332389012	4.48412838491927	4.81123207722039	4.58805106811854	4.55244447235075	4.57951632135927	4.61593645242718	4.61310931638941	4.89573780941483	4.58385605543308	4.63692697020016	4.55859517253814	4.43632249680042	4.56250274047403	4.55859517253814	4.70934625506725
AARS	201000_at	10.4591889980002	10.5224132763293	10.8137343461485	10.561636230429	10.5387283680887	10.4286785669559	10.94892451165	10.9114384035251	10.976396168901	10.4396672394305	10.3188531229646	10.1790618897754	10.954480065103	10.9478418496464	10.8745972077699	10.5068263382906	10.5834341968088	10.4809409614125	10.751405533631	10.7974027358367	10.8243445999344
AASDHPPT	202169_s_at,202170_s_at	10.731863780965	10.6003348633715	10.4365671172531	10.5830416371537	10.6239933576707	10.4669714379833	10.2177118061212	10.0685739213516	10.1772185011826	10.2582032308407	10.3493992558826	10.3751785451028	10.5674468508966	10.3634484523019	10.5069934504911	10.2131921017528	10.2437706181881	10.2974912182596	10.1705506807522	10.2169822837307	10.2790958582171
AASS	210852_s_at,214829_at	6.24662888799843	6.31041122527155	6.23980972039084	5.89279450112843	6.06392400863982	6.01404661685469	7.61043760896254	7.41427453204318	7.18267465529475	6.97949641018835	6.97121557950538	6.92303024644499	6.3109967710213	6.22675064388229	6.40660642736332	6.16453844350966	6.53250081981349	6.45636992576412	6.9766514887166	6.78481682629602	7.02519731557336
AATF	209165_at	10.9336074350108	10.8563745400493	10.7028688653886	10.9109563240471	10.8387814229785	10.747564635547	10.2882896755987	10.33074392468	10.1232472509319	9.81059929004034	9.78925450538197	9.67943713030502	10.374022432504	10.3519154827651	10.2281074108009	10.4883824946698	10.5990253731829	10.2392038068751	10.2151890986462	10.4893015541163	10.4197803784096
AATK	205986_at	5.43665812987173	5.59390814761789	5.30163432712848	4.99841288683364	5.12676477922923	5.1848891661411	4.97283584540774	5.40064638311248	5.18835535301499	5.30470152411871	5.0650054957079	5.41596869401867	5.25030206192672	5.2544839203395	5.33818415895558	5.43777575870616	5.51085738812188	5.56797232018422	5.37816520064317	5.4488205117181	5.32023228756571
ABAT	206527_at,209459_s_at,209460_at	6.24165922169834	6.30495574825356	6.3509584171586	6.42902237962136	6.51770408536432	6.74395624710872	7.13942068812422	7.05261928957784	7.18647104094453	6.49255126500016	6.42792400779365	6.55148294218556	6.64193151470049	6.64251368409882	6.74651387910382	6.66939917131153	6.57182095899897	6.80577487658082	5.89006759518586	5.89786458667674	5.75211846518474
ABCA1	203504_s_at,203505_at,215869_at,215876_at,216066_at	5.79764797988424	5.79138204813601	5.75907158290923	6.62518185634551	6.73620796583731	6.75303447459236	6.29088959225662	6.312319441879	6.22137271800077	5.51794810569753	5.45650978371604	5.51077284399959	6.1556521875348	6.22249411989053	6.21815810107255	6.2449615020689	6.29086052731636	6.14358930421074	6.25217627229438	6.31492116384878	6.22827450198516
ABCA12	215465_at	6.01009065303714	6.36772643179327	6.64856928112	5.12088563009553	5.37342631709968	5.22901530912154	5.07907393026454	5.09875102261568	4.98171656192208	4.85482741238282	4.92744517459407	4.93834540134355	5.06753522508962	4.95915254491903	5.0020535216555	7.83228373340681	7.44206051190415	7.66735064053499	4.87049051464035	4.95593069508212	4.90445255431807
