Gene	Probe_ID	MCF7__biological_rep1	MCF7__biological_rep2	MCF7__biological_rep3	MCF7_silenced_Estrogen_receptor__biological_rep1	MCF7_silenced_Estrogen_receptor__biological_rep2	MCF7_silenced_Estrogen_receptor__biological_rep3
NUFIP1	205134_s_at,205135_s_at,205136_s_at	8.82180666666667	8.78098333333333	8.81444	8.06018	8.10733	8.13280666666667
NUFIP2	224938_at,224939_at,224956_at,224958_at	9.631085	9.662295	9.631725	9.0930675	9.036255	9.05502
NUMA1	1554663_a_at,200747_s_at,214250_at,214251_s_at,235539_at	6.221296	6.408786	6.316606	7.268538	7.539922	7.400518
NUMB	230462_at	4.67051	4.56747	4.36649	6.40371	5.48427	5.5858
NUMBL	224059_s_at,242195_x_at	8.55107	8.56368	8.67812	8.47558	8.488895	8.33042
NUP107	218768_at	11.4283	11.4029	11.4399	11.5041	11.2526	11.2239
NUP133	202184_s_at,233421_s_at	7.6681	7.653415	7.59445	8.186555	8.169615	8.0895
NUP153	1559064_at,202097_at,239948_at	7.29254	7.32409666666667	7.33613333333333	7.77084666666667	7.69583333333333	7.74982333333333
NUP155	206550_s_at	10.223	10.1574	10.03	9.98805	9.66243	9.64555
NUP160	212709_at,214962_s_at,214963_at	7.65265666666667	7.58358	7.71839666666667	8.54484	8.24381666666667	8.44135
NUP188	212691_at,214675_at,217601_at	6.80172666666667	6.76732333333333	6.95351333333333	7.02596666666667	7.26112333333333	7.06388
NUP205	212247_at,222382_x_at	8.673225	8.68731	8.679425	9.083965	8.95406	8.878195
NUP210	212315_s_at,212316_at,213945_s_at,213947_s_at,220035_at	8.597932	8.77861	8.699532	7.827224	7.742714	7.844386
NUP210L	232598_at	9.51106	9.42054	9.35927	4.29092	4.19586	4.42217
NUP210P1	244681_at	4.98781	4.58215	4.66557	4.50995	4.65796	4.9392
NUP214	202155_s_at,211261_at,228902_at	7.56091	7.62945	7.57739333333333	7.53937666666667	7.41965	7.42972
NUP35	225470_at	11.8051	11.7747	11.7931	10.5558	10.4771	10.4945
NUP37	218622_at,238637_at	9.62748	9.538295	9.615615	9.440345	9.442385	9.430745
NUP43	219007_at,238474_at	7.133765	7.096235	7.158645	7.651645	7.511615	7.57422
NUP50	213682_at,218293_x_at,218294_s_at,218295_s_at,222583_s_at,231064_s_at	7.36132333333333	7.45054666666667	7.384285	7.80531166666667	7.74450833333333	7.62862833333333
NUP50-AS1	240233_at	6.31321	5.92147	5.98774	6.20213	6.04597	5.98972
NUP54	215213_at,218256_s_at,231301_at	6.60506333333333	6.46884333333333	6.53435666666667	6.61329666666667	6.80116	6.63251666666667
NUP58	204435_at,223984_s_at,225047_at,241425_at	7.7551275	8.10713	8.01189	8.9340525	9.00548	8.8877875
NUP62	202153_s_at,207740_s_at,236505_at	7.43197333333333	7.52489	7.40929	7.65761	7.70360666666667	7.60895666666667
NUP62CL	220520_s_at,232960_at	6.41642	6.46541	6.48163	6.59188	6.283845	6.47697
NUP85	218014_at	10.6556	10.6377	10.6145	11.162	10.9737	10.9837
NUP88	202900_s_at,214192_at	8.139405	8.20988	8.197125	8.399495	8.355435	8.354405
NUP93	202188_at,241758_at	7.591305	7.575495	7.442715	7.86544	7.82701	7.796885
NUP98	203194_s_at,203195_s_at,210793_s_at	8.77855666666667	8.81744	8.66522333333333	9.82179666666667	9.77727	9.71919666666667
NUPL2	204003_s_at	8.35704	8.28388	8.38206	8.6909	8.35621	8.36452
NUPR1	209230_s_at	5.422	5.65669	5.36686	5.50619	5.15893	5.25212
NUS1	225070_at,225071_at	9.7138	9.608755	9.61544	10.02189	9.919005	9.86847
NUS1///NUS1P3	215207_x_at	7.78906	7.87586	7.95743	7.97203	8.06172	7.87574
NUS1P3	37079_at	7.08654	7.19908	7.0525	6.69681	6.67267	6.60991
NUSAP1	218039_at,219978_s_at	11.16598	11.32895	11.25355	11.87305	11.939	11.70375
NUTF2P4///NUTF2	202397_at,228379_at	9.066975	9.1507	9.08283	9.768435	9.567685	9.62555
NUTM1	1564603_at,231338_at	6.120935	5.976165	6.07611	5.941535	5.9236	5.972955
NUTM2A-AS1	1558794_at	5.03127	5.08822	4.7725	6.90724	6.43875	6.66744
NUTM2B	234695_x_at	6.3581	6.46399	6.22883	6.29474	6.05457	6.26078
NUTM2B-AS1	229318_at,235730_at	5.77364	5.9442	5.85147	4.92985	5.00163	5.13087
NUTM2B-AS1///NUTM2A-AS1	227724_at,229609_at	4.90117	4.939785	5.102915	5.246025	5.159485	5.19703
NUTM2B///NUTM2A	235332_at	6.03872	6.08235	6.05985	6.05781	5.71446	5.83059
NUTM2G///NUTM2F	234414_at	6.63317	6.65974	6.43227	6.40205	6.319	6.52726
NVL	207877_s_at	9.74273	9.76932	9.75578	9.18633	8.73051	8.75714
NWD2	230765_at	4.47095	4.28679	4.38073	4.11857	4.28604	4.20123
NXF1	208922_s_at	9.52693	9.58986	9.56339	10.4212	10.3158	10.3129
NXF2B///NXF2	220257_x_at,220981_x_at,234173_s_at	5.12843666666667	5.09374	5.08752	5.21602666666667	5.27876666666667	5.34712333333333
NXF3	220110_s_at,222949_at	4.419755	4.529465	4.40517	4.309685	4.40999	4.54362
NXF5	234648_s_at	4.55865	4.36324	4.61376	4.82376	4.63494	4.72947
NXN	219489_s_at	6.99224	7.1076	6.84602	8.98388	8.65437	8.94376
NXNL1	1553755_at	6.73171	6.67905	6.70518	6.6974	6.75822	6.81034
NXNL2	1552816_at	5.12398	5.08207	5.06877	5.0436	5.21184	5.10495
NXPE1	1553828_at,1561387_a_at	4.77836	4.790305	4.930155	4.891235	4.9848	4.99685
NXPE3	217540_at,235030_at,243011_at,243606_at	5.4293375	5.4789475	5.4621425	7.05064	7.0822125	6.8924675
NXPE4	220645_at	5.15467	4.90852	5.12897	4.97423	4.95185	5.06598
